"Product Title",SKU,"Items Sold","N. Revenue",Orders,Category,Variations,Status,Stock
مروكي,1302,81,11269.54,49,"دهن العود",1,"متوفر في المخزون",377
"مروكي ميني دقة فاخر",3150,56,44556.42,47,"خشب العود",2,"متوفر في المخزون",12180
"مروكي حي",208,51,17373.92,44,"خشب العود",2,"متوفر في المخزون",76
"هندي -H",1504,36,5086.87,23,"دهن العود",1,"متوفر في المخزون",401
"هندي آسامي",1505.,34,3991.28,22,"دهن العود",1,"متوفر في المخزون",404
براشين,1006,32,3617.32,26,"دهن العود",1,"متوفر في المخزون",997
"هندي دقة فاخر",5121,27,21730.39,23,"خشب العود",2,"متوفر في المخزون",494
"مروكي ميني سوبر وأقل",3117,24,10469.62,20,"خشب العود",2,"متوفر في المخزون",2649
"دقة كلمنتان مالينو",232,23,5782.6,19,"خشب العود",2,"غير متوفر في المخزون",0
ترات,1101,22,2773.98,22,"دهن العود",1,"متوفر في المخزون",427
"دقه وقشور بورمي",2009,18,8278.21,16,"خشب العود",2,"متوفر في المخزون",1350
"لاوسي فاخر",1804,18,3756.6,18,"دهن العود",1,"متوفر في المخزون",548
كوياي,1201.,17,2069.58,15,"دهن العود",1,"متوفر في المخزون",453
"ترات فاخر",1102,15,3000,13,"دهن العود",1,"متوفر في المخزون",431
"هندي سوبر وأقل",5119,14,5800,12,"خشب العود",2,"متوفر في المخزون",47
"براشين الخاص",1001,14,2800,14,"دهن العود",1,"متوفر في المخزون",74
"مروكي ميني دبل سوبر 2",3124,11,10043.46,11,"خشب العود",2,"متوفر في المخزون",997
"هندي ميني دبل سوبر",5101,11,13226.1,9,"خشب العود",2,"متوفر في المخزون",1599
"مروكي قديم مصبوغ ميني",3136,9,3600,9,"خشب العود",2,"متوفر في المخزون",49
"مروكي قديم سوبر مرتفع",3129,8,7243.48,5,"خشب العود",2,"متوفر في المخزون",6312
"جنوب تايلند",1604,8,1182.62,5,"دهن العود",1,"متوفر في المخزون",450
"مالينو قديم دقة سوبر",4110,8,7304.36,8,"خشب العود",2,"متوفر في المخزون",150
"مروكي قديم مصبوغ مرتفع",3134,8,7234.76,8,"خشب العود",2,"متوفر في المخزون",150
"مروكي قديم سوبر وأقل",3128,7,3547.8,7,"خشب العود",2,"متوفر في المخزون",3350
فيتنامي,1701,7,1278.27,6,"دهن العود",1,"متوفر في المخزون",757
"مروكي دقة سوبر وأقل",3158,5,2582.6,5,"خشب العود",2,"غير متوفر في المخزون",0
"مالينو قديم سوبر",4106,5,4382.62,4,"خشب العود",2,"متوفر في المخزون",6029
"مالينو قديم دبل",4104,4,7717.4,3,"خشب العود",2,"متوفر في المخزون",5170
"مروكي قديم دبل سوبر",3130,4,6634.78,4,"خشب العود",2,"متوفر في المخزون",3950
"مالينو قديم سوبر مرتفع",4105,4,4608.7,4,"خشب العود",2,"متوفر في المخزون",3475
"هندي ميني سوبر",5122,4,3443.48,3,"خشب العود",2,"متوفر في المخزون",4747
"مالينو قديم أقل من سوبر",4107,4,2845.64,4,"خشب العود",2,"متوفر في المخزون",1800
تجربة,,4,0,4,"قسم الإكسسوارات",2,"متوفر في المخزون",70
"دهن عود ترات بالحطب",1105,4,7739.13,4,"قسم الجملة",3,"متوفر في المخزون",335
"مروكي دبل وتريبل",3101,3,5978.25,3,"خشب العود",2,"غير متوفر في المخزون",0
"مالينو دقة سوبر وأقل",4111,2,826.08,2,"خشب العود",2,"غير متوفر في المخزون",0
"هندي سوبر مرتفع",5113,2,2591.3,1,"خشب العود",2,"متوفر في المخزون",4600
"دهن عود براشين",1006.,2,2600,2,"قسم الجملة",3,"متوفر في المخزون",24
"دهن عود هندي آسامي",1505,1,4173.91,1,"قسم الجملة",3,"متوفر في المخزون",871
"مروكي ميني سوبر مرتفع",3151,1,5130.43,1,"قسم الجملة",1,"غير متوفر في المخزون",0
"عود حي أقل من سوبر",205,1,1260.87,1,"قسم الجملة",1,"متوفر في المخزون",16769
"مروكي ميني سوبر نظيف",3152,1,4086.96,1,"قسم الجملة",1,"غير متوفر في المخزون",0
